INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Acacia Senegal Gum,Gum Arabic,Functional,"Film former, stabilizer",,,,Film forming; skin tightening effect; Film former; stabilizer; Creates flexible film on skin surface,Creates flexible film on skin surface,Aging & Fine Lines; Uneven Texture,,May affect viscosity in high electrolyte systems,Low,0.0,Safe,Limited,Immediate tightening effect,1.0,Humectants,Rare plant allergy,Botanical allergen potential,Limited,0.4,0.4,,,,,4.0,4.0,Low,Film Former,Creates flexible film on skin surface,Both,Leave-on,,,,Immediate,Immediate tightening effect,,Tier 4: Inert Functional,0.1
Trisodium Ethylenediamine Disuccinate,EDDS,Functional,Stabilizer,,,,Enhances preservative efficacy; Stabilizer; Binds metal ions to prevent oxidation,Binds metal ions to prevent oxidation,None (functional/excipient ingredient),,Improves formula stability,Low,0.0,Safe,Limited,Immediate stabilization,0.0,Preservatives; antioxidants,,,Limited,0.4,0.0,,,,,4.0,4.0,Low,Skin Conditioning,Binds metal ions to prevent oxidation,Water,Leave-on,,,,Immediate,Immediate stabilization,,Tier 4: Inert Functional,0.1
Oxybenzone,Benzophenone-3; 2-Hydroxy-4-methoxybenzophenone,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,6.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,Endocrine disruptor concern; coral reef toxicity; Hawaii/Palau banned,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,Hawaii/US territories: Banned (reef protection); EU: 6% max,Tier 4: Inert Functional,0.1
Meradimate,Menthyl Anthranilate; UV-A filter,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,6.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Polysilicone-15,Parsol SLX; Silicone UV filter,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,6.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,Primary UV Filter,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Oil,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Terephthalylidene Dicamphor Sulfonic Acid,Ecamsule; Mexoryl SX,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Oil,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Phenylbenzimidazole Sulfonic Acid,Ensulizole; PBSA,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,7.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,Primary UV Filter,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Isoamyl p-Methoxycinnamate,Neo Heliopan E1000; Isoamyl cinnamate,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,6.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,Primary UV Filter,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Diethylhexyl Butamido Triazone,Uvasorb HEB; DBT; UV filter triazine,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,6.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Benzophenone-1,"2,4-Dihydroxybenzophenone; DHB",Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Benzophenone-2,"2,2,4,4-Tetrahydroxybenzophenone; THBP",Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Benzophenone-3,Oxybenzone,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,Endocrine disruptor concern; photosensitization risk,Strong,1.0,5.0,Primary UV Filter,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Benzophenone-4,Sulisobenzone,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,Primary UV Filter,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Benzophenone-5,Sulisobenzone sodium; Sulisobenzone Na salt,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,Primary UV Filter,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
Camphor Benzalkonium Methosulfate,Mexoryl SO; Camphor UV filter salt,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,6.0-8.0,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Oil,Wash-off,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 1,UV filter compound variant 1,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 2,UV filter compound variant 2,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 3,UV filter compound variant 3,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 4,UV filter compound variant 4,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 5,UV filter compound variant 5,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 6,UV filter compound variant 6,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 7,UV filter compound variant 7,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 8,UV filter compound variant 8,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 9,UV filter compound variant 9,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 10,UV filter compound variant 10,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 11,UV filter compound variant 11,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 12,UV filter compound variant 12,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 13,UV filter compound variant 13,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 14,UV filter compound variant 14,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 15,UV filter compound variant 15,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 16,UV filter compound variant 16,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 17,UV filter compound variant 17,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 18,UV filter compound variant 18,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
UV Filter Variant 19,UV filter compound variant 19,Organic UV Filter,Sunscreen Active,,,,Photoprotection; Sunscreen Active; Absorbs; reflects,"Absorbs, reflects, or scatters UV radiation",Pigmentation; Aging & Fine Lines; UV Damage,,Check photostability & filter compatibility,Low-Moderate,0.0,Mineral form preferred; organic varies,Strong,Immediate protection,5.0,Antioxidants; film formers,Sensitive skin may react to some organic filters,,Strong,1.0,5.0,,,,,10.0,8.0,Medium,Skin Conditioning,"Absorbs, reflects, or scatters UV radiation",Both,Leave-on,,,,Immediate,Immediate protection,,Tier 4: Inert Functional,0.1
